Rank,Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,,,,,,
18,2021,62,38,24,0.613,93-67,0.581,833-750,0.526,45642,0.571,60,0.839,0.212,0.12,0.055,0.629,0.769,0.505,0.671,0.371,0.517,1.13,,,,,,
18,2020,42,23,19,0.548,54-48,0.529,522-496,0.513,45549,0.609,42,0.825,0.19,0.114,0.055,0.637,0.748,0.501,0.658,0.357,0.507,1.04,,,,,,
18,2019,56,34,22,0.607,73-59,0.553,686-667,0.507,45585,0.667,55,0.811,0.195,0.113,0.06,0.655,0.742,0.485,0.654,0.354,0.506,1.02,,,,,,
19,2023,59,32,27,0.542,81-67,0.547,745-693,0.518,14-14,0.5,59,0.782,0.255,0.04,0.022,0.659,0.674,0.529,0.625,0.39,0.509,1.04,,,,,,
19,2022,47,21,26,0.447,63-67,0.485,652-659,0.497,45550,0.375,47,0.742,0.26,0.035,0.032,0.676,0.655,0.526,0.613,0.389,0.5,1,,,,,,
19,2021,50,27,23,0.54,68-61,0.527,635-631,0.502,45635,0.571,47,0.734,0.266,0.029,0.037,0.677,0.665,0.48,0.605,0.396,0.5,1,,,,,,
19,2020,23,13,10,0.565,36-33,0.522,319-325,0.495,45416,0.556,23,0.699,0.287,0.018,0.032,0.661,0.636,0.485,0.585,0.408,0.496,0.98,,,,,,
20,2023,59,39,20,0.661,93-59,0.612,822-728,0.53,20-13,0.606,56,0.876,0.176,0.11,0.025,0.654,0.767,0.535,0.687,0.351,0.515,1.12,,,,,,
20,2022,14,5,9,0.357,14-21,0.4,176-187,0.485,45419,0.417,12,0.863,0.071,0.163,0.027,0.648,0.808,0.492,0.697,0.281,0.488,0.93,,,,,,
20,2021,4,1,3,0.25,45389,0.364,56-67,0.455,45353,0.6,4,0.797,0.119,0.137,0.067,0.613,0.737,0.507,0.648,0.331,0.484,0.94,,,,,,
20,2020,3,0,3,0,45297,0.143,29-43,0.403,45292,0.5,3,0.686,0.114,0.108,0.026,0.662,0.647,0.462,0.584,0.333,0.461,0.8,,,,,,
20,2019,38,18,20,0.474,46-50,0.479,477-504,0.486,45609,0.542,38,0.817,0.154,0.107,0.033,0.624,0.722,0.519,0.646,0.331,0.493,0.93,,,,,,
20,2018,52,29,23,0.558,74-66,0.529,728-723,0.502,21-18,0.538,51,0.835,0.165,0.107,0.033,0.639,0.735,0.533,0.662,0.338,0.501,1,,,,,,
21,2023,68,41,27,0.603,105-78,0.574,956-849,0.53,17-18,0.486,67,0.814,0.243,0.081,0.029,0.622,0.721,0.527,0.647,0.384,0.513,1.09,,,,,,
21,2022,66,39,27,0.591,93-76,0.55,869-801,0.52,15-16,0.484,63,0.797,0.245,0.05,0.031,0.62,0.71,0.513,0.635,0.381,0.508,1.04,,,,,,
21,2021,48,25,23,0.521,58-60,0.492,589-595,0.497,45514,0.444,47,0.778,0.226,0.053,0.031,0.605,0.698,0.517,0.627,0.381,0.502,1.02,,,,,,
21,2020,28,15,13,0.536,41-36,0.532,378-368,0.507,45450,0.462,28,0.774,0.244,0.06,0.026,0.591,0.693,0.524,0.624,0.374,0.5,0.99,,,,,,
